 País de Destino ;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
 Estados Unidos de América ;175,294;129,079;169,453;181,745;198,811;207,793;191,863;207,718;223,708;225,986;246,324;242,752;264,861;305,91;359,79;343,31;406,236;500,232;542,018;585,699;601,908;556,571;528,486;220,17
 Perú ;16,227;14,663;22,117;41,91;46,193;53,536;86,656;104,008;92,488;112,755;120,844;134,148;142,82;153,583;169,452;177,582;205,055;226,41;282,476;334,799;296,511;326,582;356,166;84,619
 México ;2,239;2,007;3,592;9,057;8,678;8,294;7,988;8,554;12,084;9,281;10,7;13,532;12,152;19,28;21,874;26,742;28,298;33,651;35,179;40,241;40,435;51,861;119,28;54,258
 Colombia ;37,444;45,641;42,787;40,647;56,797;56,424;65,185;82,257;84,448;84,683;95,285;91,959;91,03;107,755;106,625;113,83;126,442;127,714;145,006;163,008;166,584;160,204;153,031;37,153
 España ;10,769;13,992;50,784;139,152;139,329;162,686;130,925;72,49;99,686;143,718;148,025;132,868;110,446;99,466;112,575;101,557;99,98;101,858;109,956;126,178;144,992;110,85;97,907;30,428
 Chile ;7,873;7,37;9,989;11,528;15,627;20,676;20,879;16,531;16,933;15,515;15,664;17,624;17,884;19,495;25,131;27,396;27,089;29,421;31,906;48,832;34,023;34,413;38,534;14,109
 Panamá ;17,087;17,755;14,132;13,526;19,163;24,571;21,781;26,208;23,018;19,277;21,015;27,433;23,694;32,454;50,578;63,52;72,913;70,309;62,272;66,738;64,679;60,885;56,834;12,778
 Argentina ;2,162;1,691;3,221;3,744;2,988;13,341;16,761;16,403;18,475;19,296;24,357;21,522;19,865;20,292;30,513;28,269;33,35;38,933;35,992;29,336;29,251;31,219;32,966;8,768
 Italia ;3,855;1,312;9,17;23,265;18,677;15,748;16,01;14,812;18,333;21,364;23,588;22,671;24,583;25,347;27,806;24,945;22,261;23,499;24,681;25,082;23,315;22,075;21,997;8,558
 Brasil ;2,7;3,175;2,502;3,81;2,919;3,524;4,395;6,222;9,564;9,575;13,106;12,99;12,27;10,557;10,553;11,486;14,365;21,998;18,218;15,521;17,698;19,927;21,721;6,991
 Canadá ;720;147;681;2,559;2,383;2,396;2,262;1,761;2,583;3,602;3,948;3,753;3,186;3,737;5,105;5,636;6,766;7,987;10,361;15,526;12,343;10,427;9,567;2,833
 Alemania ;1,816;524;1,477;4,264;3,356;2,949;3,012;2,857;3,942;6,295;4,496;4,163;4,381;4,763;5,102;5,504;5,426;6,278;7,18;7,905;8,051;7,935;8,504;2,786
 Cuba ;3,953;3,725;2,453;3,494;4,127;4,764;4,794;5,083;6,133;9,471;7,966;11,18;14,376;18,739;15,292;11,563;10,703;10,458;10,145;12,471;10,801;10,286;8,759;2,084
 Reino Unido ;450;4;282;802;703;547;510;415;1,087;2,623;2,622;2,148;2,107;1,946;2,234;2,693;2,854;3,605;5,421;2,225;8,334;6,728;6,221;1,988
 República Dominicana ;782;133;538;1,563;2,66;2,688;2,821;2,689;4,579;6,854;10,573;14,865;14,368;15,29;16,711;11,92;7,725;7,051;6,279;6,057;9,919;9,977;9,522;1,952
 Francia ;3,087;784;1,355;3,643;2,64;2,961;2,586;1,657;1,906;2,544;3,234;3,23;2,904;3,322;3,767;3,923;3,711;4,214;4,788;4,215;4,472;4,98;6,184;1,623
 Venezuela ;9,694;7,025;14,066;8,485;9,211;15,32;11,808;11,373;19,727;13,324;17,36;19,688;18,232;16,835;14,914;14,451;14,224;13,635;10,998;11,942;13,002;10,668;6,653;1,283
 Bolivia ;885;112;523;1,406;1,432;1,367;993;1,117;1,935;1,835;1,762;1,449;2,547;1,998;1,905;2,063;2,409;3,419;4,553;2,703;4,746;4,997;4,822;1,107
 Suiza ;436;89;514;1,307;1,056;918;1,102;1,298;1,736;1,914;2,109;2,092;1,91;2,191;2,44;2,84;2,62;3,121;3,511;3,839;4,058;3,313;3,181;1,062
 Holanda (Países Bajos) ;12,15;15,809;18,197;4,375;6,905;10,681;7,305;4,302;4,057;2,788;2,868;3,238;2,946;3,387;3,004;3,454;7,235;6,426;3,886;3,7;4,1;4,09;3,875;1,026
 Otros ;11;9,958;17,82;19,692;18,412;15,427;13,47;15,564;17,179;20,759;25,023;34,676;27,075;32,538;37,08;39,521;38,213;38,117;43,341;44,881;48,09;49,692;50,498;12,519
