Credit_Limit;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Revolving_Bal;Total_Trans_Amt;Total_Trans_Ct;Avg_Utilization_Ratio
12691;45;M;3;High School;Married;$60K - $80K;Blue;39;777;1144;42;0.061
8256;49;F;5;Graduate;Single;Less than $40K;Blue;44;864;1291;33;0.105
3418;51;M;3;Graduate;Married;$80K - $120K;Blue;36;0;1887;20;0
3313;40;F;4;High School;Unknown;Less than $40K;Blue;34;2517;1171;20;0.76
4716;40;M;3;Uneducated;Married;$60K - $80K;Blue;21;0;816;28;0
4010;44;M;2;Graduate;Married;$40K - $60K;Blue;36;1247;1088;24;0.311
34516;51;M;4;Unknown;Married;$120K +;Gold;46;2264;1330;31;0.066
29081;32;M;0;High School;Unknown;$60K - $80K;Silver;27;1396;1538;36;0.048
22352;37;M;3;Uneducated;Single;$60K - $80K;Blue;36;2517;1350;24;0.113
11656;48;M;2;Graduate;Single;$80K - $120K;Blue;36;1677;1441;32;0.144
6748;42;M;5;Uneducated;Unknown;$120K +;Blue;31;1467;1201;42;0.217
9095;65;M;1;Unknown;Married;$40K - $60K;Blue;54;1587;1314;26;0.174
11751;56;M;1;College;Single;$80K - $120K;Blue;36;0;1539;17;0
8547;35;M;3;Graduate;Unknown;$60K - $80K;Blue;30;1666;1311;33;0.195
2436;57;F;2;Graduate;Married;Less than $40K;Blue;48;680;1570;29;0.279
4234;44;M;4;Unknown;Unknown;$80K - $120K;Blue;37;972;1348;27;0.23
30367;48;M;4;Post-Graduate;Single;$80K - $120K;Blue;36;2362;1671;27;0.078
13535;41;M;3;Unknown;Married;$80K - $120K;Blue;34;1291;1028;21;0.095
3193;61;M;1;High School;Married;$40K - $60K;Blue;56;2517;1336;30;0.788
14470;45;F;2;Graduate;Married;Unknown;Blue;37;1157;1207;21;0.08
20979;47;M;1;Doctorate;Divorced;$60K - $80K;Blue;42;1800;1178;27;0.086
1438.3;62;F;0;Graduate;Married;Less than $40K;Blue;49;0;692;16;0
4470;41;M;3;High School;Married;$40K - $60K;Blue;33;680;931;18;0.152
2492;47;F;4;Unknown;Single;Less than $40K;Blue;36;1560;1126;23;0.626
12217;54;M;2;Unknown;Married;$80K - $120K;Blue;42;0;1110;21;0
7768;41;F;3;Graduate;Single;Less than $40K;Blue;28;1669;1051;22;0.215
14784;59;M;1;High School;Unknown;$40K - $60K;Blue;46;1374;1197;23;0.093
10215;63;M;1;Unknown;Married;$60K - $80K;Blue;56;1010;1904;40;0.099
10100;44;F;3;Uneducated;Single;Unknown;Blue;34;0;1052;18;0
4785;47;M;4;High School;Married;$40K - $60K;Blue;42;1362;1045;38;0.285
2753;53;M;3;Unknown;Married;$80K - $120K;Blue;33;1811;1038;25;0.658
2451;53;M;2;Uneducated;Married;$60K - $80K;Blue;48;1690;1596;26;0.69
8923;41;M;4;Graduate;Married;$60K - $80K;Blue;36;2517;1589;24;0.282
2650;53;F;2;College;Married;Less than $40K;Blue;38;1490;1411;28;0.562
12555;58;M;0;Graduate;Married;$80K - $120K;Blue;49;1696;1291;24;0.135
3520;55;F;1;College;Single;Less than $40K;Blue;36;1914;1407;43;0.544
3035;55;F;3;Graduate;Married;Less than $40K;Blue;36;2298;1877;37;0.757
15433;42;F;4;High School;Married;Less than $40K;Gold;36;0;966;22;0
3672;57;F;1;Graduate;Unknown;$40K - $60K;Blue;49;886;1464;28;0.241
7882;66;F;0;Doctorate;Married;Unknown;Blue;56;605;704;16;0.077
32426;45;M;3;Graduate;Single;$80K - $120K;Blue;41;578;1109;28;0.018
6205;51;M;2;Unknown;Married;$40K - $60K;Blue;44;2204;1347;28;0.355
17304;50;F;1;College;Single;$40K - $60K;Silver;43;2517;1756;33;0.145
3906;49;M;3;High School;Married;$60K - $80K;Blue;37;0;1756;32;0
9830;38;F;4;Graduate;Single;Unknown;Blue;28;2055;1042;23;0.209
34516;49;M;4;Uneducated;Single;$80K - $120K;Blue;30;0;1444;28;0
2283;56;M;2;Doctorate;Married;$60K - $80K;Blue;45;1430;1741;27;0.626
2548;59;M;1;Doctorate;Married;$40K - $60K;Blue;52;2020;1719;27;0.793
19458;46;M;3;High School;Married;$80K - $120K;Blue;40;1435;1217;27;0.074
4745;52;M;1;College;Single;$80K - $120K;Blue;40;1227;1140;40;0.259
2622;52;F;3;Unknown;Married;Less than $40K;Blue;41;1549;1878;30;0.591
1438.3;54;F;1;Graduate;Married;Less than $40K;Blue;40;808;705;19;0.562
3171;66;F;0;High School;Married;Less than $40K;Blue;54;2179;1946;38;0.687
19763;49;M;2;Unknown;Married;$120K +;Blue;36;2517;1414;35;0.127
15769;56;M;2;Graduate;Married;$120K +;Blue;36;0;602;15;0
3298;49;F;4;Graduate;Unknown;Less than $40K;Blue;36;2200;1052;32;0.667
2802;49;F;3;Graduate;Single;Less than $40K;Blue;36;2363;1295;40;0.843
4458;56;M;2;Uneducated;Married;$40K - $60K;Blue;50;1880;1424;29;0.422
6273;44;F;5;Graduate;Married;Unknown;Blue;35;978;1359;25;0.156
3336;42;M;2;High School;Single;$60K - $80K;Blue;34;1753;1168;27;0.525
3436;55;M;3;Unknown;Married;$80K - $120K;Blue;47;2016;1097;33;0.587
34516;48;M;2;Graduate;Married;$60K - $80K;Silver;35;0;691;15;0
5926;39;M;1;High School;Divorced;$60K - $80K;Blue;33;1251;1316;28;0.211
23957;44;M;4;Post-Graduate;Single;$120K +;Blue;32;2102;1276;26;0.088
14734;53;M;2;High School;Single;$120K +;Blue;44;1634;1289;23;0.111
34516;51;M;4;Uneducated;Single;$80K - $120K;Silver;38;1515;1293;32;0.044
6584;57;M;2;College;Married;$60K - $80K;Blue;52;1817;1353;35;0.276
2084;44;F;2;Uneducated;Single;Less than $40K;Blue;20;1468;1132;28;0.704
1687;49;M;2;Graduate;Married;$60K - $80K;Blue;32;1107;1670;17;0.656
25300;50;M;2;Doctorate;Married;$80K - $120K;Blue;38;1330;837;15;0.053
34516;51;M;4;Graduate;Single;$120K +;Blue;42;1763;1550;41;0.051
