 Entradas ; Total ; Ecuatorianos ; Extranjeros 
 Quito ; Vía Aérea ;178,498;190,417
 Guayaquil ; Vía Aérea ;240,162;161,504
 Guayaquil ; Vía Marítima ;2,161;4,456
 Huaquillas ; Vía Terrestre ;61,477;43,976
 Tulcán ; Vía Terrestre ;12,028;52,699
 Tulcán ; Vía Aérea ; - ; - 
 Macará ; Vía Terrestre ;5,88;2,698
 Zapotillo ; Vía terrestre ;3,384;1,352
 Sucumbíos ; Vía Terrestre ;1,04;5,573
 Manta ; Vía Marítima ;2,06;1,446
 Manta ; Vía Aérea ;812;328
 Esmeraldas ; Vía Aérea ;802;528
 Esmeraldas ; Vía Marítima ;431;1,02
 Machala ; Vía Marítima ;24;776
 Salinas ; Vía Marítima ;286;685
 San Lorenzo ; Vía fluvial ;155;639
 San Lorenzo ; Vía Marítima ; - ; - 
 Latacunga ; Vía Aérea ;259;92
 Espíndola ; Vía terrestre ;53;59
 San Cristóbal ; Vía Marítima ;4;599
 La Balsa (Chinchipe) ; Vía Terrestre ;2;2
 Tufiño ; Vía terrestre ; - ; - 
 Santa Cruz ; Vía Marítima ;51;41
 Santa Cruz ; Vía aérea ; - ; - 
 Macas ; Vía aérea ; - ; - 
 Nuevo Rocafuerte (Aguarico) ; Vía Terrestre ; - ; - 
 Nuevo Rocafuerte (Aguarico) ; Vía fluvial ; - ; - 
 Cuenca ; Vía aérea ;30;3
 Sucumbíos ; Vía Fluvial ; - ; - 
 Ibarra ; Vía Terrestre ; - ; - 
 Puerto El Carmen (Putumayo) ; Vía Terrestre ; - ; - 
 Puerto El Carmen (Putumayo) ; Vía fluvial ; - ; - 
 Tena ; Vía aérea ; - ; - 
 Isabela ; Vía Marítima ; - ;1
 Santa Rosa ; Vía aérea ; - ; - 
 Lago Agrio ; Vía aérea ; - ; - 
