Province/State;Country/Region;Lat;Long;Date;Confirmed;Deaths;Recovered;Active;WHO Region;DeathNumber
;Ecuador;-18.312;-781.834;22/1/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;23/1/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;24/1/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;25/1/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;26/1/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;27/1/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;28/1/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;29/1/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;30/1/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;31/1/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;1/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;2/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;3/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;4/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;5/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;6/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;7/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;8/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;9/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;10/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;11/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;12/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;13/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;14/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;15/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;16/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;17/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;18/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;19/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;20/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;21/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;22/2/2020;0;0;0;0;Americas;0
;Ecuador;-18.312;-781.834;23/2/2020;0;0;0;0;Americas;0
