anio;mes;semana;total_semana_anterior;total_anio_anterior;total_semana_actual
2018;1;1;0;0;0
2018;1;2;0;0;0
2018;1;3;0;0;26472.7
2018;1;4;26472.7;0;23209.89
2018;2;1;23209.89;0;15157.61
2018;2;2;15157.61;0;7503.88
2018;2;3;7503.88;0;10698.55
2018;2;4;10698.55;0;15793.84
2018;3;1;15793.84;0;13190.71
2018;3;2;13190.71;0;11809.51
2018;3;3;11809.51;0;9983.33
2018;3;4;9983.33;0;8462.11
2018;4;1;8462.11;0;9204.14
2018;4;2;9204.14;0;10229.6
2018;4;3;10229.6;0;6901.7
2018;4;4;6901.7;0;7404.76
2018;5;1;7404.76;0;5270.76
2018;5;2;5270.76;0;4477.54
2018;5;3;4477.54;0;4342.81
2018;5;4;4342.81;0;3822.69
2018;6;1;3822.69;0;5381.39
2018;6;2;5381.39;0;4530.32
2018;6;3;4530.32;0;3975.25
2018;6;4;3975.25;0;4220.64
2018;7;1;4220.64;0;4633.14
2018;7;2;4633.14;0;9910.66
2018;7;3;9910.66;0;2945.18
2018;7;4;2945.18;0;2509.32
2018;8;1;2509.32;0;4543.34
2018;8;2;4543.34;0;4060.42
2018;8;3;4060.42;0;4049.49
2018;8;4;4049.49;0;4593.37
2018;9;1;4593.37;0;4541.2
2018;9;2;4541.2;0;3381.21
2018;9;3;3381.21;0;5617.66
2018;9;4;5617.66;0;2925.18
2018;10;1;2925.18;0;3414.96
2018;10;2;3414.96;0;1561.68
2018;10;3;1561.68;0;2716.68
2018;10;4;2716.68;0;3307.59
2018;11;1;3307.59;0;2640.29
2018;11;2;2640.29;0;4635.55
2018;11;3;4635.55;0;4021.34
2018;11;4;4021.34;0;3127.2
2018;12;1;3127.2;0;3381.87
2018;12;2;3381.87;0;3974.58
2018;12;3;3974.58;0;4014.51
2018;12;4;4014.51;0;5471.85
2019;1;1;5471.85;0;11301.09
2019;1;2;11301.09;0;30287.11
2019;1;3;30287.11;26472.7;30867.66
2019;1;4;30867.66;23209.89;19925.28
2019;2;1;19925.28;15157.61;11265.4
2019;2;2;11265.4;7503.88;7513.56
2019;2;3;7513.56;10698.55;8455.3
2019;2;4;8455.3;15793.84;7149.82
2019;3;1;7149.82;13190.71;4287.25
2019;3;2;4287.25;11809.51;10864.57
2019;3;3;10864.57;9983.33;6254.48
2019;3;4;6254.48;8462.11;8955.66
2019;4;1;8955.66;9204.14;6055.42
2019;4;2;6055.42;10229.6;8356.86
2019;4;3;8356.86;6901.7;5339.18
2019;4;4;5339.18;7404.76;8920.12
2019;5;1;8920.12;5270.76;3941.72
2019;5;2;3941.72;4477.54;6821.41
2019;5;3;6821.41;4342.81;12705.22
2019;5;4;12705.22;3822.69;5123.66
2019;6;1;5123.66;5381.39;5513.32
2019;6;2;5513.32;4530.32;7316.69
2019;6;3;7316.69;3975.25;7787.74
2019;6;4;7787.74;4220.64;5942.3
2019;7;1;5942.3;4633.14;4857.57
2019;7;2;4857.57;9910.66;7179.78
2019;7;3;7179.78;2945.18;8118.34
2019;7;4;8118.34;2509.32;910.24
2019;8;1;910.24;4543.34;0
2019;8;2;0;4060.42;0
2019;8;3;0;4049.49;0
2019;8;4;0;4593.37;0
2019;9;1;0;4541.2;0
2019;9;2;0;3381.21;0
2019;9;3;0;5617.66;0
2019;9;4;0;2925.18;0
2019;10;1;0;3414.96;0
2019;10;2;0;1561.68;0
2019;10;3;0;2716.68;0
2019;10;4;0;3307.59;0
2019;11;1;0;2640.29;0
2019;11;2;0;4635.55;0
2019;11;3;0;4021.34;0
2019;11;4;0;3127.2;0
2019;12;1;0;3381.87;0
2019;12;2;0;3974.58;0
2019;12;3;0;4014.51;0
2019;12;4;0;5471.85;0
2020;1;1;0;11301.09;0
2020;1;2;0;30287.11;0
2020;1;3;0;30867.66;0
2020;1;4;0;19925.28;0
2020;2;1;0;11265.4;28668.92
2020;2;2;28668.92;7513.56;43382.25
2020;2;3;43382.25;8455.3;27965.3
2020;2;4;27965.3;7149.82;12638.9
2020;3;1;12638.9;4287.25;18427.04
2020;3;2;18427.04;10864.57;14744.11
2020;3;3;14744.11;6254.48;400.17
2020;3;4;400.17;8955.66;0
2020;4;1;0;6055.42;0
2020;4;2;0;8356.86;0
2020;4;3;0;5339.18;0
2020;4;4;0;8920.12;0
2020;5;1;0;3941.72;190.35
2020;5;2;190.35;6821.41;284.72
2020;5;3;284.72;12705.22;576.65
2020;5;4;576.65;5123.66;418.33
2020;6;1;418.33;5513.32;544.67
2020;6;2;544.67;7316.69;2024.67
2020;6;3;2024.67;7787.74;3169.62
2020;6;4;3169.62;5942.3;2580.03
2020;7;1;2580.03;4857.57;6111.4
2020;7;2;6111.4;7179.78;3577.72
2020;7;3;3577.72;8118.34;3722.07
2020;7;4;3722.07;910.24;6438.16
2020;8;1;6438.16;0;4039.65
2020;8;2;4039.65;0;4003.61
2020;8;3;4003.61;0;4516.32
2020;8;4;4516.32;0;5594.94
2020;9;1;5594.94;0;7152.19
2020;9;2;7152.19;0;5239.78
2020;9;3;5239.78;0;6047.71
2020;9;4;6047.71;0;6928.69
2020;10;1;6928.69;0;8240.82
2020;10;2;8240.82;0;5633.8
2020;10;3;5633.8;0;11164.97
2020;10;4;11164.97;0;6154.45
2020;11;1;6154.45;0;3052.2
2020;11;2;3052.2;0;4675.29
2020;11;3;4675.29;0;6770.28
2020;11;4;6770.28;0;6835.23
2020;12;1;6835.23;0;7814.21
2020;12;2;7814.21;0;7362.16
2020;12;3;7362.16;0;10003.03
2020;12;4;10003.03;0;7530.42
2021;1;1;7530.42;0;164.27
2021;1;2;164.27;0;36497.99
2021;1;3;36497.99;0;39079.03
2021;1;4;39079.03;0;22871.81
2021;2;1;22871.81;28668.92;20407.53
2021;2;2;20407.53;43382.25;12264.49
2021;2;3;12264.49;27965.3;6138.07
2021;2;4;6138.07;12638.9;10232.16
2021;3;1;10232.16;18427.04;14779.75
2021;3;2;14779.75;14744.11;11637.59
2021;3;3;11637.59;400.17;12428.64
2021;3;4;12428.64;0;12816.25
2021;4;1;12816.25;0;2353.23
2021;4;2;2353.23;0;7290.78
2021;4;3;7290.78;0;1335.99
2021;4;4;1335.99;0;0
