 No. , País de Destino ,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,, Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % , Número , % 
"1, Estados Unidos de América ,"" 175,294 "", 54.7 ,"" 129,079 "", 46.9 ,"" 169,453 "", 43.9 ,"" 181,745 "", 35.0 ,"" 198,811 "", 35.4 ,"" 207,793 "", 33.2 ,"" 191,863 "", 31.3 ,"" 207,718 "", 34.4 ,"" 223,708 "", 33.7 ,"" 225,986 "", 30.8 ,"" 246,324 "", 30.8 ,"" 242,752 "", 29.7 ,"" 264,861 "", 32.6 ,"" 305,910 "", 34.0 ,"" 359,790 "", 35.2 ,"" 343,310 "", 33.6 ,"" 406,236 "", 35.7 ,"" 500,232 "", 39.1 ,"" 542,018 "", 38.8 ,"" 585,699 "", 37.8 ,"" 601,908 "", 38.9 ,"" 556,571 "", 37.2 ,"" 528,486 "", 34.2 ,"" 220,170 "", 43.3 "
"2, Perú ,"" 16,227 "", 5.1 ,"" 14,663 "", 5.3 ,"" 22,117 "", 5.7 ,"" 41,910 "", 8.1 ,"" 46,193 "", 8.2 ,"" 53,536 "", 8.5 ,"" 86,656 "", 14.1 ,"" 104,008 "", 17.2 ,"" 92,488 "", 13.9 ,"" 112,755 "", 15.4 ,"" 120,844 "", 15.1 ,"" 134,148 "", 16.4 ,"" 142,820 "", 17.6 ,"" 153,583 "", 17.1 ,"" 169,452 "", 16.6 ,"" 177,582 "", 17.4 ,"" 205,055 "", 18.0 ,"" 226,410 "", 17.7 ,"" 282,476 "", 20.2 ,"" 334,799 "", 21.6 ,"" 296,511 "", 19.2 ,"" 326,582 "", 21.8 ,"" 356,166 "", 23.1 ,"" 84,619 "", 16.7 "
"3, México ,"" 2,239 "", 0.7 ,"" 2,007 "", 0.7 ,"" 3,592 "", 0.9 ,"" 9,057 "", 1.7 ,"" 8,678 "", 1.5 ,"" 8,294 "", 1.3 ,"" 7,988 "", 1.3 ,"" 8,554 "", 1.4 ,"" 12,084 "", 1.8 ,"" 9,281 "", 1.3 ,"" 10,700 "", 1.3 ,"" 13,532 "", 1.7 ,"" 12,152 "", 1.5 ,"" 19,280 "", 2.1 ,"" 21,874 "", 2.1 ,"" 26,742 "", 2.6 ,"" 28,298 "", 2.5 ,"" 33,651 "", 2.6 ,"" 35,179 "", 2.5 ,"" 40,241 "", 2.6 ,"" 40,435 "", 2.6 ,"" 51,861 "", 3.5 ,"" 119,280 "", 7.7 ,"" 54,258 "", 10.7 "
"4, Colombia ,"" 37,444 "", 11.7 ,"" 45,641 "", 16.6 ,"" 42,787 "", 11.1 ,"" 40,647 "", 7.8 ,"" 56,797 "", 10.1 ,"" 56,424 "", 9.0 ,"" 65,185 "", 10.6 ,"" 82,257 "", 13.6 ,"" 84,448 "", 12.7 ,"" 84,683 "", 11.5 ,"" 95,285 "", 11.9 ,"" 91,959 "", 11.2 ,"" 91,030 "", 11.2 ,"" 107,755 "", 12.0 ,"" 106,625 "", 10.4 ,"" 113,830 "", 11.1 ,"" 126,442 "", 11.1 ,"" 127,714 "", 10.0 ,"" 145,006 "", 10.4 ,"" 163,008 "", 10.5 ,"" 166,584 "", 10.8 ,"" 160,204 "", 10.7 ,"" 153,031 "", 9.9 ,"" 37,153 "", 7.3 "
"5, España ,"" 10,769 "", 3.4 ,"" 13,992 "", 5.1 ,"" 50,784 "", 13.2 ,"" 139,152 "", 26.8 ,"" 139,329 "", 24.8 ,"" 162,686 "", 26.0 ,"" 130,925 "", 21.4 ,"" 72,490 "", 12.0 ,"" 99,686 "", 15.0 ,"" 143,718 "", 19.6 ,"" 148,025 "", 18.5 ,"" 132,868 "", 16.2 ,"" 110,446 "", 13.6 ,"" 99,466 "", 11.1 ,"" 112,575 "", 11.0 ,"" 101,557 "", 9.9 ,"" 99,980 "", 8.8 ,"" 101,858 "", 8.0 ,"" 109,956 "", 7.9 ,"" 126,178 "", 8.1 ,"" 144,992 "", 9.4 ,"" 110,850 "", 7.4 ,"" 97,907 "", 6.3 ,"" 30,428 "", 6.0 "
"6, Chile ,"" 7,873 "", 2.5 ,"" 7,370 "", 2.7 ,"" 9,989 "", 2.6 ,"" 11,528 "", 2.2 ,"" 15,627 "", 2.8 ,"" 20,676 "", 3.3 ,"" 20,879 "", 3.4 ,"" 16,531 "", 2.7 ,"" 16,933 "", 2.6 ,"" 15,515 "", 2.1 ,"" 15,664 "", 2.0 ,"" 17,624 "", 2.2 ,"" 17,884 "", 2.2 ,"" 19,495 "", 2.2 ,"" 25,131 "", 2.5 ,"" 27,396 "", 2.7 ,"" 27,089 "", 2.4 ,"" 29,421 "", 2.3 ,"" 31,906 "", 2.3 ,"" 48,832 "", 3.1 ,"" 34,023 "", 2.2 ,"" 34,413 "", 2.3 ,"" 38,534 "", 2.5 ,"" 14,109 "", 2.8 "
"7, Panamá ,"" 17,087 "", 5.3 ,"" 17,755 "", 6.5 ,"" 14,132 "", 3.7 ,"" 13,526 "", 2.6 ,"" 19,163 "", 3.4 ,"" 24,571 "", 3.9 ,"" 21,781 "", 3.6 ,"" 26,208 "", 4.3 ,"" 23,018 "", 3.5 ,"" 19,277 "", 2.6 ,"" 21,015 "", 2.6 ,"" 27,433 "", 3.4 ,"" 23,694 "", 2.9 ,"" 32,454 "", 3.6 ,"" 50,578 "", 4.9 ,"" 63,520 "", 6.2 ,"" 72,913 "", 6.4 ,"" 70,309 "", 5.5 ,"" 62,272 "", 4.5 ,"" 66,738 "", 4.3 ,"" 64,679 "", 4.2 ,"" 60,885 "", 4.1 ,"" 56,834 "", 3.7 ,"" 12,778 "", 2.5 "
"8, Argentina ,"" 2,162 "", 0.7 ,"" 1,691 "", 0.6 ,"" 3,221 "", 0.8 ,"" 3,744 "", 0.7 ,"" 2,988 "", 0.5 ,"" 13,341 "", 2.1 ,"" 16,761 "", 2.7 ,"" 16,403 "", 2.7 ,"" 18,475 "", 2.8 ,"" 19,296 "", 2.6 ,"" 24,357 "", 3.0 ,"" 21,522 "", 2.6 ,"" 19,865 "", 2.4 ,"" 20,292 "", 2.3 ,"" 30,513 "", 3.0 ,"" 28,269 "", 2.8 ,"" 33,350 "", 2.9 ,"" 38,933 "", 3.0 ,"" 35,992 "", 2.6 ,"" 29,336 "", 1.9 ,"" 29,251 "", 1.9 ,"" 31,219 "", 2.1 ,"" 32,966 "", 2.1 ,"" 8,768 "", 1.7 "
"9, Italia ,"" 3,855 "", 1.2 ,"" 1,312 "", 0.5 ,"" 9,170 "", 2.4 ,"" 23,265 "", 4.5 ,"" 18,677 "", 3.3 ,"" 15,748 "", 2.5 ,"" 16,010 "", 2.6 ,"" 14,812 "", 2.5 ,"" 18,333 "", 2.8 ,"" 21,364 "", 2.9 ,"" 23,588 "", 2.9 ,"" 22,671 "", 2.8 ,"" 24,583 "", 3.0 ,"" 25,347 "", 2.8 ,"" 27,806 "", 2.7 ,"" 24,945 "", 2.4 ,"" 22,261 "", 2.0 ,"" 23,499 "", 1.8 ,"" 24,681 "", 1.8 ,"" 25,082 "", 1.6 ,"" 23,315 "", 1.5 ,"" 22,075 "", 1.5 ,"" 21,997 "", 1.4 ,"" 8,558 "", 1.7 "
"10, Brasil ,"" 2,700 "", 0.8 ,"" 3,175 "", 1.2 ,"" 2,502 "", 0.6 ,"" 3,810 "", 0.7 ,"" 2,919 "", 0.5 ,"" 3,524 "", 0.6 ,"" 4,395 "", 0.7 ,"" 6,222 "", 1.0 ,"" 9,564 "", 1.4 ,"" 9,575 "", 1.3 ,"" 13,106 "", 1.6 ,"" 12,990 "", 1.6 ,"" 12,270 "", 1.5 ,"" 10,557 "", 1.2 ,"" 10,553 "", 1.0 ,"" 11,486 "", 1.1 ,"" 14,365 "", 1.3 ,"" 21,998 "", 1.7 ,"" 18,218 "", 1.3 ,"" 15,521 "", 1.0 ,"" 17,698 "", 1.1 ,"" 19,927 "", 1.3 ,"" 21,721 "", 1.4 ,"" 6,991 "", 1.4 "
"11, Canadá , 720 , 0.2 , 147 , 0.1 , 681 , 0.2 ,"" 2,559 "", 0.5 ,"" 2,383 "", 0.4 ,"" 2,396 "", 0.4 ,"" 2,262 "", 0.4 ,"" 1,761 "", 0.3 ,"" 2,583 "", 0.4 ,"" 3,602 "", 0.5 ,"" 3,948 "", 0.5 ,"" 3,753 "", 0.5 ,"" 3,186 "", 0.4 ,"" 3,737 "", 0.4 ,"" 5,105 "", 0.5 ,"" 5,636 "", 0.6 ,"" 6,766 "", 0.6 ,"" 7,987 "", 0.6 ,"" 10,361 "", 0.7 ,"" 15,526 "", 1.0 ,"" 12,343 "", 0.8 ,"" 10,427 "", 0.7 ,"" 9,567 "", 0.6 ,"" 2,833 "", 0.6 "
"12, Alemania ,"" 1,816 "", 0.6 , 524 , 0.2 ,"" 1,477 "", 0.4 ,"" 4,264 "", 0.8 ,"" 3,356 "", 0.6 ,"" 2,949 "", 0.5 ,"" 3,012 "", 0.5 ,"" 2,857 "", 0.5 ,"" 3,942 "", 0.6 ,"" 6,295 "", 0.9 ,"" 4,496 "", 0.6 ,"" 4,163 "", 0.5 ,"" 4,381 "", 0.5 ,"" 4,763 "", 0.5 ,"" 5,102 "", 0.5 ,"" 5,504 "", 0.5 ,"" 5,426 "", 0.5 ,"" 6,278 "", 0.5 ,"" 7,180 "", 0.5 ,"" 7,905 "", 0.5 ,"" 8,051 "", 0.5 ,"" 7,935 "", 0.5 ,"" 8,504 "", 0.6 ,"" 2,786 "", 0.5 "
"13, Cuba ,"" 3,953 "", 1.2 ,"" 3,725 "", 1.4 ,"" 2,453 "", 0.6 ,"" 3,494 "", 0.7 ,"" 4,127 "", 0.7 ,"" 4,764 "", 0.8 ,"" 4,794 "", 0.8 ,"" 5,083 "", 0.8 ,"" 6,133 "", 0.9 ,"" 9,471 "", 1.3 ,"" 7,966 "", 1.0 ,"" 11,180 "", 1.4 ,"" 14,376 "", 1.8 ,"" 18,739 "", 2.1 ,"" 15,292 "", 1.5 ,"" 11,563 "", 1.1 ,"" 10,703 "", 0.9 ,"" 10,458 "", 0.8 ,"" 10,145 "", 0.7 ,"" 12,471 "", 0.8 ,"" 10,801 "", 0.7 ,"" 10,286 "", 0.7 ,"" 8,759 "", 0.6 ,"" 2,084 "", 0.4 "
